Category,Product,URL
Recording | Microphones | Broadcast Microphone,NTG8 Broadcast Quality RF-Bias Shotgun Microphone,http://www.haworthguitars.com.au/products/pro-audio-mics/microphones/rode-rode-ntg8-broadcast-quality-rf-bias-shotgun-microphone/
Guitars | Electric Guitars | Fender Jazzmaster,Troy Van Leeuwen Signaure Series Jazzmaster,http://www.portmacguitars.com.au/fender-troy-van-leeuwen-jazzmaster.html
Recording | Hard Disk Recording,R24 Recorder / Interface / Controller,http://www.bigmusicshop.com.au/zoom-r24-recorder-interface-controller.html
Amps & FX | Effects,East River Drive Overdrive Pedal,http://www.haworthguitars.com.au/products/effect-pedals/guitar-bass/electroharmonix-east-river-drive-overdrive-pedal/
Guitars | Electric Guitars | Baritone Guitars,LTD MH-417B FM STBLKSB,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=9620
Guitars | Electric Guitars,Revstar RS320SY Electric Guitar - Stock Yellow,https://www.ghmusic.com.au/yamaha-revstar-rs320sy-electric-guitar-stock-yellow.html
Guitars | Electric Guitars,Revstar RS420FB Electric Guitar - Factory Blue,https://www.ghmusic.com.au/yamaha-revstar-rs420fb-electric-guitar-factory-blue.html
Guitars | Electric Guitars | Baritone Guitars,G5265 Jet Baritone Electric Guitar - Black Sparkle,http://www.bigmusicshop.com.au/gretsch-g5265-jet-baritone-black-sparkle.html
Guitars | Electric Guitars | Fender Jazzmaster,Troy Van Leeuwen Signaure Series Jazzmaster,https://www.ghmusic.com.au/fender-troy-van-leeuwen-jazzmaster.html
Recording | Control Surfaces,LP1240USB Direct-Drive Professional DJ Turntable ,http://www.bettermusic.com.au/audio-technica-lp1240usb-professional-dj-direct-drive-turntable
Guitars | Electric Guitars,Duo-Sonic HS Offset Electric Guitar - Daphne Blue,http://www.portmacguitars.com.au/Fender-Duo-Sonic-HS-Daphne-Blue-Offset-Electric-Guitar
Amps & FX | Effects,Cry Baby Mini Wah CBM95,http://www.bigmusicshop.com.au/dunlop-cbm95-cry-baby-mini-wah-pedal.html
Recording,Tube Ultragain MIC200 Tube Preamplifier,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=4354
Recording | Rack Effects & Preamps,DP88 8 CH A/D/A Converter With Remote Preamps,https://www.storedj.com.au/presonus-digimax-dp88-8-ch-a-d-a-converter-with-remote-preamps
Guitars | Electric Guitars,Revstar RS420FR Electric Guitar - Fire Red,https://www.ghmusic.com.au/yamaha-revstar-rs420fr-electric-guitar-fire-red.html
Live Sound | Mixers | Analog Mixers,UFX1204 Mixing & Recording Console w USB & Firewire Recording,http://www.haworthguitars.com.au/products/pro-audio-mics/mixers/behringer-behringer-xenyx-ufx1204-premium-recording-mixing-console/
Amps & FX | Effects | Wah's,CB95 Cry Baby Original Wah Pedal,https://www.ghmusic.com.au/cry-baby-wah-wah-pedal.html
